Date,Open,High,Low,Close,Volume
2010-01-04,84.0780985780434,84.8412860498673,83.43462421364933,84.79639434814453,118944600
2010-01-05,84.74402659658446,85.05827995459525,84.43725138387785,85.02086639404297,111579900
2010-01-06,84.93853147569733,85.29019827149394,84.87119394042013,85.08069610595703,116074400
2010-01-07,84.92357256363152,85.54460094008545,84.68414069311395,85.43984985351562,131091100
2010-01-08,85.21535830233005,85.7615651506607,85.04326972181128,85.72415161132812,126402800
2010-01-11,86.10579564132631,86.14320349284282,85.47728322566661,85.84391784667969,106375700
2010-01-12,85.27524484790531,85.45481733519773,84.71407583017339,85.04329681396484,163333500
2010-01-13,85.2602813274508,86.00102857732769,84.82631493757633,85.7615966796875,161822000
2010-01-14,85.66430932881917,86.15065689468558,85.61193378840315,85.9935302734375,115718800
2010-01-15,85.84389653821688,85.92619607452762,84.69910696262609,85.02832794189453,212283100
2010-01-19,85.01334185342184,86.1431576966123,84.9908903042385,86.09078216552734,139172700
2010-01-20,85.50720052502996,85.634397477044,84.5345108991199,85.21539306640625,216490200
2010-01-21,85.23782033052545,85.49969803007428,83.47200825855937,83.5767593383789,344859600
2010-01-22,83.20266636299894,83.60670878425232,81.62391023326165,81.71369934082031,345942400
2010-01-25,82.4618960755135,82.61154453602265,81.86331935899211,82.13267517089844,186937500
2010-01-26,81.81096666277043,82.65646506127828,81.58650245644192,81.78852081298828,211168800
2010-01-27,81.68374279121093,82.36463045560174,81.05523637039343,82.17757415771484,271863600
2010-01-28,82.44700644574996,82.49189816905071,80.7410524582006,81.23487854003906,316104000
2010-01-29,81.58649406920821,82.15514694209463,80.22472414018218,80.35192108154297,310677600
2010-02-01,80.92057358135591,81.60893954043578,80.43422595712318,81.60145568847656,187865000
2010-02-02,81.75109504519604,82.74623032126817,81.46676578759902,82.58910369873047,216327900
2010-02-03,82.21498199218911,82.66392167392182,81.93814232475981,82.17757415771484,172730700
2010-02-04,81.5416064793721,81.57901432421097,79.62614557650903,79.64111328125,356715700
2010-02-05,79.73089798973172,79.97032989297239,78.24941487233848,79.80572509765625,493585800
2010-02-08,79.86558185180475,80.30703782974324,79.16973196439875,79.2295913696289,224166900
2010-02-09,80.15735769628917,80.92055054064244,79.51388361516968,80.22470092773438,337820500
2010-02-10,80.09751850237116,80.5090389812418,79.39418491249347,80.06758880615234,240511500
2010-02-11,79.96284925231997,80.99539823246123,79.49894745680375,80.90560913085938,223591600
2010-02-12,80.05263314915994,80.88316379155664,79.69348815750591,80.83827209472656,304622100
2010-02-16,81.45180095836841,82.19254235554693,80.67364601538563,82.11023712158203,159317500
2010-02-17,82.50679912656365,82.61155591760517,82.11024064146352,82.49932098388672,168845100
2010-02-18,82.36463604649475,83.15775297665016,82.33470635178061,82.98566436767578,193708600
2010-02-19,82.76870115747947,83.47951305006012,82.5741609425125,83.15777587890625,222684900
2010-02-22,83.4645369109417,83.48698275722953,82.92581376600896,83.1727294921875,132346900
2010-02-23,82.94824400896994,83.20263783038648,81.9456192981689,82.16260528564453,207497000
2010-02-24,82.40954148292472,83.05301575536754,82.20003929347943,82.9183349609375,176350700
2010-02-25,81.73611385606846,82.86593543189599,81.5116497359834,82.80607604980469,259634700
2010-02-26,82.88092057887437,83.14280402156395,82.3870948099157,82.85847473144531,173589300
2010-03-01,83.20264821013885,83.80123071291916,83.1802023652731,83.71892547607422,147709700
2010-03-02,84.07809224688397,84.35493199800459,83.80124678725643,83.95088958740234,160992400
2010-03-03,84.1678776399232,84.52702836070165,83.81621077188163,84.02571868896484,150785000
2010-03-04,84.13790286054702,84.39978618947009,83.8236497160441,84.28006744384766,135770400
2010-03-05,84.8262974260863,85.55207111299062,84.62427341473223,85.48473358154297,176118800
2010-03-08,85.49221668201612,85.68675113238353,85.35005206108912,85.49969482421875,114631200
