Model,MAE,RMSE,R2,MAPE
Baseline,0.001676758631662908,0.00296377609580016,0.7642376684729736,20.828278996642958
XGBoost,0.0018520542045781096,0.003135647482742535,0.7361007837197914,22.636998556136437
LSTM,0.002298591425642371,0.003315782407298684,0.7093563079833984,31.140130758285522
